"","year","cowcode","seriousattempt","success","perexitregularNC201","npolity2dummy","npolity2dummy11","absnpolity2dummy11","lautoc","successlautoc","successldemoc","weapondum2","weapondum3","weapondum4","weapondum5","weapondum6","numserdum2","numserdum3","numserdum4"
"1",1875,"AFG",0,0,NA,0,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0
"2",1876,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"3",1877,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"4",1878,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"5",1879,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"6",1880,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"7",1881,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"8",1882,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"9",1883,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"10",1884,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"11",1885,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"12",1886,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"13",1887,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"14",1888,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"15",1889,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"16",1890,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"17",1891,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"18",1892,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"19",1893,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"20",1894,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"21",1895,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"22",1896,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"23",1897,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"24",1898,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"25",1899,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"26",1900,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"27",1901,"AFG",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"28",1902,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"29",1903,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"30",1904,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"31",1905,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"32",1906,"AFG",0,0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0
